Model,Accuracy,Macro_F1,Weighted_F1,Macro_Precision,Macro_Recall
Unbalanced + Unsegmented,0.7345309381237525,0.42288351598950147,0.7122585560504089,0.5435168114803326,0.3993861967241979
Weighted + Unsegmented,0.6207584830339321,0.4159411339069227,0.6617117334851537,0.42825367763090666,0.5431548125757105
Balanced (CGAN) + Unsegmented,0.7218895542248835,0.35936672700885486,0.6890230127391602,0.47883790825876327,0.3221008750366766
Segmented + Unbalanced,0.5741849634065203,0.1494142370598794,0.5320177721377082,0.16363505830574537,0.19498231744259428
Segmented + Weighted,0.2954091816367265,0.10546401075135865,0.37319081216991273,0.19005299916906257,0.21146701944115417
